,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,logPrice,logLiving,logLot,logAbove,logBathrooms,logBedrooms,resid_pl,resid_lg,resid_la
0,5437400630,20141016T000000,625000.0,4,2.25,1920,8259,2.0,0,0,4,8,1920,0,1979,0,98027,47.5616,-122.088,13.345506928718539,7.560080465021827,9.019058793810718,7.560080465021827,0.8109302162163288,1.3862943611198906,0.31366256881553767,-0.07921172287151279,-0.12391380775425098
1,3999300290,20141016T000000,850000.0,3,3.5,2620,11148,2.0,0,4,4,9,2060,560,1977,0,98008,47.5845,-122.115,13.652991628466498,7.8709295967551425,9.319015388601839,7.630461261783627,1.252762968495368,1.0986122886681098,0.38554820669277134,-0.03809076447440063,0.12739329318719506
2,2525059134,20141016T000000,500000.0,2,1.5,1760,12000,1.0,0,0,4,7,1760,0,1964,0,98052,47.6288,-122.109,13.122363377404328,7.473069088032197,9.392661928770137,7.473069088032197,0.4054651081081644,0.6931471805599453,0.15646676095014733,0.10350507347506,-0.13731371220693678
3,1862400285,20141016T000000,375000.0,3,1.0,1200,5404,1.0,0,0,3,6,1200,0,1937,0,98117,47.6969,-122.368,12.834681304952548,7.090076835776092,8.59489469908009,7.090076835776092,0.0,1.0986122886681098,0.15906253110372504,-0.00975900544484265,-0.19629518984706706
4,7199320190,20141016T000000,618000.0,4,2.25,2470,7350,1.0,0,0,3,7,1600,870,1978,0,98052,47.6936,-122.12799999999999,13.334243736439827,7.8119734296220225,8.902455592206882,7.3777589082278725,0.8109302162163288,1.3862943611198906,0.11148442747222376,0.4424094150648852,0.28222287456610573
5,8815400670,20141016T000000,780000.0,3,2.0,2610,6000,1.0,0,0,5,7,1310,1300,1941,0,98115,47.675,-122.289,13.567049198665774,7.867105500316739,8.699514748210191,7.177782416195197,0.6931471805599453,1.0986122886681098,0.30250413960699873,0.49754148575960144,0.5065347072711637
6,1568100380,20141016T000000,345000.0,2,1.0,1160,8504,1.0,0,0,4,7,1160,0,1949,0,98155,47.7364,-122.295,12.751299696013497,7.05617528410041,9.048291920021784,7.05617528410041,0.0,0.6931471805599453,0.10137561761457192,-0.3133887304567269,-0.20151608818207567
7,5561000430,20141016T000000,470000.0,3,2.25,1830,39165,1.0,0,0,5,8,1830,0,1963,0,98027,47.4612,-121.992,13.060487973686241,7.512071245835466,10.575538769801339,7.512071245835466,0.8109302162163288,1.0986122886681098,0.06503080566112196,-0.12722094205787382,-0.1313073115948118
9,305010190,20141016T000000,680000.0,4,2.5,2830,8399,2.0,0,0,3,9,2830,0,1998,0,98075,47.5851,-122.03399999999999,13.42984807715229,7.948031990637284,9.035867930125628,7.948031990637284,0.9162907318741551,1.3862943611198906,0.10396713758551357,0.0390116294077405,-0.06416859333085068
10,1924079090,20141016T000000,530000.0,3,2.75,2440,45738,2.0,0,0,3,8,1840,600,1987,0,98027,47.5453,-121.95700000000001,13.180632285528304,7.799753318287247,10.73068474121633,7.517520850603031,1.0116009116784799,1.0986122886681098,-0.03286514533664864,0.16046113039390697,0.15176440476833264
11,5700002285,20141016T000000,495000.0,4,1.75,2040,3570,1.0,0,0,4,7,1020,1020,1917,0,98144,47.5754,-122.288,13.112313041550827,7.620705086838262,8.180320874773685,6.927557906278317,0.5596157879354227,1.3862943611198906,0.034520012122595034,0.2511410722811247,0.47182379092605586
12,2115510300,20141016T000000,246000.0,3,2.25,1440,10500,1.0,0,0,3,8,1130,310,1983,0,98023,47.31800000000001,-122.391,12.4130868149145,7.272398392570047,9.259130536145614,7.029972911706386,0.8109302162163288,1.0986122886681098,-0.40071728214866553,-0.3668937953232936,0.036874181440698095
13,6751300375,20141016T000000,522500.0,3,1.0,1520,9030,1.0,0,0,3,7,1520,0,1956,0,98007,47.586999999999996,-122.134,13.166380262821104,7.326465613840322,9.108307646411031,7.326465613840322,0.0,1.0986122886681098,0.31159748732893533,-0.04309840071681492,-0.15989090400148864
14,5244800915,20141016T000000,780000.0,5,2.5,1660,4000,1.5,0,0,5,8,1660,0,1929,0,98109,47.6452,-122.352,13.567049198665774,7.414572881350589,8.294049640102028,7.414572881350589,0.9162907318741551,1.6094379124341003,0.6454880813662349,-0.22471930654275152,-0.14632223048922466
15,9274200850,20141016T000000,464050.0,2,1.0,780,2750,1.0,0,0,4,7,780,0,1928,0,98116,47.5842,-122.38799999999999,13.047747584023538,6.659293919683638,7.919356190660617,6.659293919683638,0.0,0.6931471805599453,0.6986281969846182,-0.7102700948734997,-0.2626365134210662
16,5318101185,20141016T000000,630500.0,3,1.0,1180,3600,1.5,0,0,3,7,1180,0,1926,0,98112,47.6337,-122.28,13.35426843438711,7.07326971745971,8.1886891244442,7.07326971745971,0.0,1.0986122886681098,0.691388127221499,-0.29629429709742716,-0.1988835155046571
17,1138000450,20141016T000000,355000.0,4,1.0,1440,7215,1.5,0,0,3,7,1440,0,1969,0,98034,47.7133,-122.212,12.779873068457553,7.272398392570047,8.88391747120797,7.272398392570047,0.0,1.3862943611198906,-0.03393102860561292,-0.09716562198709067,-0.1682173507732747
18,7430500301,20141016T000000,700000.0,3,1.5,2240,7227,2.0,0,1,3,9,1440,800,1977,0,98008,47.6208,-122.09299999999999,13.458835614025542,7.7142311448490855,8.885579291282982,7.272398392570047,0.4054651081081644,1.0986122886681098,0.31015722807419266,-0.19478921638045765,0.27361540150576413
19,3575303430,20141016T000000,780000.0,6,4.25,4310,10000,2.0,0,0,3,8,2950,1360,2008,0,98074,47.6214,-122.06200000000001,13.567049198665774,8.368693183097793,9.210340371976184,7.989560449333865,1.4469189829363254,1.791759469228055,-0.07765966155977466,0.7294009952044531,0.3213595958074684
20,7694200340,20141016T000000,398651.0,4,2.5,2650,4120,2.0,0,0,3,8,2650,0,2014,0,98146,47.5019,-122.34,12.895841626393569,7.882314918980268,8.323608442343572,7.882314918980268,0.9162907318741551,1.3862943611198906,-0.38023096934753653,0.24302273108692773,-0.07428913746635146
21,424049284,20141016T000000,310000.0,1,1.5,1120,912,3.0,0,0,3,7,1120,0,2011,0,98144,47.5924,-122.29899999999999,12.644327576461329,7.02108396428914,6.815639990074331,7.02108396428914,0.4054651081081644,0.0,0.020999943679736788,-0.3484800502679972,-0.20692021289378637
22,2781280300,20141016T000000,249900.0,3,2.5,1610,3517,2.0,0,0,3,8,1610,0,2005,0,98055,47.4496,-122.189,12.428816116823043,7.383989457978509,8.165363632473982,7.383989457978509,0.9162907318741551,1.0986122886681098,-0.46956518390413216,-0.25530272991483116,-0.15103213125393466
23,7702080110,20141016T000000,535000.0,5,2.75,2620,6389,2.0,0,0,3,9,2620,0,2007,0,98028,47.77,-122.236,13.190022025878143,7.8709295967551425,8.762333040602343,7.8709295967551425,1.0116009116784799,1.6094379124341003,-0.07742139589558406,-0.03809076447440063,-0.07604249702987076
